KRW-BTT
24 ÀÏ 08 ½Ã 0.0015 -6.667 %, Èå¸²
25 ÀÏ 00 ½Ã:  7.56 0.0 %, ¸¼À½
25 ÀÏ 01 ½Ã:  7.56 2.116 %, ¸¼À½
25 ÀÏ 02 ½Ã:  7.72 1.425 %, ¸¼À½
25 ÀÏ 03 ½Ã:  7.83 0.511 %, ¸¼À½
25 ÀÏ 04 ½Ã 7.87 -0.762 %, Èå¸²
25 ÀÏ 05 ½Ã:  7.81 0.896 %, ¸¼À½
25 ÀÏ 06 ½Ã:  7.88 0.888 %, ¸¼À½
25 ÀÏ 07 ½Ã 7.95 -0.252 %, Èå¸²
25 ÀÏ 08 ½Ã:  7.93 1.135 %, ¸¼À½
25 ÀÏ 07 ½Ã -> 25 ÀÏ 20 ½Ã 7.93 -> 7.76 -2.144 %,20 ~ 09 ³¯¾¾´Â Èå¸²
KRW-TT
24 ÀÏ 08 ½Ã 8.11 -4.439 %, Èå¸²
24 ÀÏ 09 ½Ã:  7.75 0.129 %, ¸¼À½
24 ÀÏ 10 ½Ã:  7.76 1.16 %, ¸¼À½
24 ÀÏ 11 ½Ã:  7.85 3.694 %, ¸¼À½
24 ÀÏ 12 ½Ã 8.14 -1.474 %, Èå¸²
24 ÀÏ 13 ½Ã:  8.02 0.249 %, ¸¼À½
24 ÀÏ 14 ½Ã:  8.04 0.0 %, ¸¼À½
24 ÀÏ 15 ½Ã:  8.04 2.612 %, ¸¼À½
24 ÀÏ 16 ½Ã 8.25 -1.818 %, Èå¸²
24 ÀÏ 17 ½Ã:  8.1 0.0 %, ¸¼À½
24 ÀÏ 18 ½Ã 8.1 -4.321 %, Èå¸²
24 ÀÏ 19 ½Ã:  7.75 1.806 %, ¸¼À½
24 ÀÏ 20 ½Ã:  7.89 0.887 %, ¸¼À½
24 ÀÏ 21 ½Ã 7.96 -1.884 %, Èå¸²
24 ÀÏ 22 ½Ã 7.81 -0.128 %, Èå¸²
24 ÀÏ 23 ½Ã 7.8 -3.077 %, Èå¸²
25 ÀÏ 00 ½Ã:  7.56 0.0 %, ¸¼À½
25 ÀÏ 01 ½Ã:  7.56 2.116 %, ¸¼À½
25 ÀÏ 02 ½Ã:  7.72 1.425 %, ¸¼À½
25 ÀÏ 03 ½Ã:  7.83 0.511 %, ¸¼À½
25 ÀÏ 04 ½Ã 7.87 -0.762 %, Èå¸²
25 ÀÏ 05 ½Ã:  7.81 0.896 %, ¸¼À½
25 ÀÏ 06 ½Ã:  7.88 0.888 %, ¸¼À½
25 ÀÏ 07 ½Ã 7.95 -0.252 %, Èå¸²
25 ÀÏ 08 ½Ã:  7.93 1.135 %, ¸¼À½
25 ÀÏ 07 ½Ã -> 25 ÀÏ 20 ½Ã 7.93 -> 7.76 -2.144 %,20 ~ 09 ³¯¾¾´Â Èå¸²
Å×½ºÆ®
